game_date,player_id,player_name,card_type,card_min
1993-08-28,HigginsDave19610819,Dave Higgins,yellow,
1993-08-28,NolanIan19700709,Ian Nolan,red,85
1993-08-28,AldridgeJohn19580918,John Aldridge,yellow,
1993-09-04,ThomasTony19710712,Tony Thomas,yellow,
1993-09-11,MungallSteve19580522,Steve Mungall,yellow,
1993-09-18,BrannanGed19720115,Ged Brannan,yellow,
1993-09-18,AldridgeJohn19580918,John Aldridge,yellow,
1993-09-25,MuirIan19630505,Ian Muir,yellow,
1993-10-05,GarnettShaun19691122,Shaun Garnett,yellow,
1993-10-09,MalkinChris19670604,Chris Malkin,yellow,
1993-10-22,MuirIan19630505,Ian Muir,yellow,
1993-10-22,GarnettShaun19691122,Shaun Garnett,yellow,
1993-10-26,HigginsDave19610819,Dave Higgins,yellow,
1993-10-26,ThomasTony19710712,Tony Thomas,yellow,
1993-11-20,NolanIan19700709,Ian Nolan,yellow,
1993-11-27,MorrisseyJohnny19650308,Johnny Morrissey,yellow,
1993-11-27,ThomasTony19710712,Tony Thomas,yellow,
1993-12-03,ThomasTony19710712,Tony Thomas,yellow,
1993-12-11,HigginsDave19610819,Dave Higgins,yellow,
1993-12-29,HigginsDave19610819,Dave Higgins,yellow,
1993-12-29,GarnettShaun19691122,Shaun Garnett,yellow,
1994-01-01,BranchGraham19720212,Graham Branch,yellow,
1994-01-01,GarnettShaun19691122,Shaun Garnett,yellow,
1994-01-03,NolanIan19700709,Ian Nolan,yellow,
1994-01-08,IronsKenny19701104,Kenny Irons,yellow,
1994-01-08,ThomasTony19710712,Tony Thomas,yellow,
1994-01-26,HigginsDave19610819,Dave Higgins,yellow,
1994-01-29,NolanIan19700709,Ian Nolan,yellow,
1994-01-29,ThomasTony19710712,Tony Thomas,yellow,
1994-02-05,HigginsDave19610819,Dave Higgins,yellow,
1994-02-05,NixonEric19621004,Eric Nixon,red,73
1994-02-05,,Ian Nolan,yellow,
1994-02-05,HughesMark19620203,Mark Hughes,yellow,
1994-02-16,OBrienLiam19640905,Liam O'Brien,yellow,
1994-02-23,McGrealJohn19720602,John McGreal,yellow,
1994-03-12,HughesMark19620203,Mark Hughes,yellow,
1994-03-29,HigginsDave19610819,Dave Higgins,yellow,
1994-04-12,BrannanGed19720115,Ged Brannan,yellow,
1994-04-12,McGrealJohn19720602,John McGreal,yellow,
1994-04-12,MorrisseyJohnny19650308,Johnny Morrissey,red,44
1994-04-16,NevinPat19630906,Pat Nevin,yellow,
1994-04-30,McGrealJohn19720602,John McGreal,yellow,
1994-05-18,NixonEric19621004,Eric Nixon,red,90
1994-05-18,GarnettShaun19691122,Shaun Garnett,yellow,
1994-08-13,GarnettShaun19691122,Shaun Garnett,yellow,
1994-08-27,GarnettShaun19691122,Shaun Garnett,yellow,
1994-09-03,MorrisseyJohnny19650308,Johnny Morrissey,yellow,
1994-09-10,GarnettShaun19691122,Shaun Garnett,yellow,
1994-09-14,BrannanGed19720115,Ged Brannan,yellow,
1994-09-14,EdwardsMike19740910,Mike Edwards,yellow,
1994-09-20,BrannanGed19720115,Ged Brannan,yellow,
1994-09-27,McGrealJohn19720602,John McGreal,yellow,
1994-09-27,,Johnnie Morrissey,yellow,
1994-10-04,McGrealJohn19720602,John McGreal,yellow,
1994-10-08,OBrienLiam19640905,Liam O'Brien,yellow,
1994-10-26,MorrisseyJohnny19650308,Johnny Morrissey,yellow,
1994-11-01,MungallSteve19580522,Steve Mungall,yellow,
1994-11-06,BrannanGed19720115,Ged Brannan,yellow,
1994-11-06,McGrealJohn19720602,John McGreal,yellow,
1994-11-09,BrannanGed19720115,Ged Brannan,yellow,
1994-11-09,GarnettShaun19691122,Shaun Garnett,yellow,
1994-11-09,MungallSteve19580522,Steve Mungall,yellow,
1994-11-19,MungallSteve19580522,Steve Mungall,yellow,
1994-11-26,NixonEric19621004,Eric Nixon,yellow,
1994-11-26,BrannanGed19720115,Ged Brannan,yellow,
1994-12-03,GarnettShaun19691122,Shaun Garnett,yellow,
1994-12-06,StevensGary19630327,Gary Stevens,yellow,
1994-12-06,MungallSteve19580522,Steve Mungall,yellow,
1994-12-10,BrannanGed19720115,Ged Brannan,yellow,
1994-12-10,GarnettShaun19691122,Shaun Garnett,yellow,
1994-12-17,MorrisseyJohnny19650308,Johnny Morrissey,yellow,
1994-12-27,JonesGary19750510,Gary Jones,yellow,
1994-12-31,JonesGary19750510,Gary Jones,yellow,
1995-01-15,MorrisseyJohnny19650308,Johnny Morrissey,yellow,
1995-01-15,ThomasTony19710712,Tony Thomas,yellow,
1995-01-22,HigginsDave19610819,Dave Higgins,yellow,
1995-01-29,ThomasTony19710712,Tony Thomas,yellow,
1995-02-11,JonesGary19750510,Gary Jones,yellow,
1995-02-11,BrannanGed19720115,Ged Brannan,yellow,
1995-02-11,GarnettShaun19691122,Shaun Garnett,red,40
1995-02-18,MalkinChris19670604,Chris Malkin,yellow,
1995-02-21,IronsKenny19701104,Kenny Irons,yellow,
1995-02-21,GarnettShaun19691122,Shaun Garnett,yellow,
1995-02-25,ThomasTony19710712,Tony Thomas,yellow,
1995-03-05,StevensGary19630327,Gary Stevens,yellow,
1995-03-07,BrannanGed19720115,Ged Brannan,yellow,
1995-03-07,GarnettShaun19691122,Shaun Garnett,yellow,
1995-03-18,McGrealJohn19720602,John McGreal,yellow,
1995-03-18,OBrienLiam19640905,Liam O'Brien,yellow,
1995-03-18,GarnettShaun19691122,Shaun Garnett,yellow,
1995-04-08,OBrienLiam19640905,Liam O'Brien,yellow,
1995-04-14,StevensGary19630327,Gary Stevens,yellow,
1995-04-14,GarnettShaun19691122,Shaun Garnett,yellow,
1995-04-17,GarnettShaun19691122,Shaun Garnett,yellow,
1995-04-17,ThomasTony19710712,Tony Thomas,yellow,
1995-04-21,AldridgeJohn19580918,John Aldridge,yellow,
1995-04-21,NevinPat19630906,Pat Nevin,yellow,
1995-04-21,ThomasTony19710712,Tony Thomas,yellow,
1995-04-30,HigginsDave19610819,Dave Higgins,yellow,
1995-04-30,HigginsDave19610819,Dave Higgins,red,45
1995-04-30,NixonEric19621004,Eric Nixon,yellow,
1995-05-07,BrannanGed19720115,Ged Brannan,yellow,
1995-05-14,MalkinChris19670604,Chris Malkin,yellow,
1995-05-14,GarnettShaun19691122,Shaun Garnett,yellow,
1995-05-17,ThomasTony19710712,Tony Thomas,yellow,
1995-05-17,ThomasTony19710712,Tony Thomas,red,84
1995-08-29,BennettGary19630920,Gary Bennett,yellow,
1995-08-29,BrannanGed19720115,Ged Brannan,yellow,
1995-08-29,AldridgeJohn19580918,John Aldridge,yellow,
1995-08-29,GarnettShaun19691122,Shaun Garnett,yellow,
1995-09-09,TealeShaun19640310,Shaun Teale,yellow,
1995-09-09,TealeShaun19640310,Shaun Teale,red,57
1995-09-12,BrannanGed19720115,Ged Brannan,yellow,
1995-09-12,OBrienLiam19640905,Liam O'Brien,yellow,
1995-09-16,BennettGary19630920,Gary Bennett,yellow,
1995-09-16,ThomasMooreIan19760826,Ian Thomas-Moore,yellow,
1995-09-23,BrannanGed19720115,Ged Brannan,yellow,
