game_date,player_id,goal_min,penalty,own_goal
1924-01-12,StuartTom18931025,,,0
1924-01-19,CampbellJohnny18941014,,,0
1924-01-19,BeswickSammy19030308,,,0
1924-01-26,StuartTom18931025,,,0
1924-02-02,CampbellJohnny18941014,,,0
1924-02-02,SayerStan18950202,,,0
1924-02-09,MoretonJimmy18910922,,,0
1924-02-16,CartmanBert19000228,,,0
1924-02-23,LittlehalesHarry19010826,,,0
1924-03-01,SayerStan18950202,,,0
1924-03-08,MoretonJimmy18910922,,,0
1924-03-15,LittlehalesHarry19010826,,,0
1924-03-15,LittlehalesHarry19010826,,,0
1924-03-22,SayerStan18950202,,,0
1924-03-29,BrownJack,,,0
1924-03-29,LittlehalesHarry19010826,,,0
1924-03-29,,,,1
1924-04-12,MoretonJimmy18910922,,,0
1924-04-12,MoretonJimmy18910922,,,0
1924-04-12,SayerStan18950202,,,0
1924-04-12,LittlehalesHarry19010826,,,0
1924-04-18,BrownJack,,,0
1924-04-18,SayerStan18950202,,,0
1924-04-18,LittlehalesHarry19010826,,,0
1924-04-19,BrownJack,,,0
1924-04-19,BrownJack,,,0
1924-04-19,LittlehalesHarry19010826,,,0
1924-04-28,BrownJack,,,0
1924-04-28,CartmanBert19000228,,,0
1924-08-30,CampbellJohnny18941014,,,0
1924-08-30,LittlehalesHarry19010826,,,0
1924-09-06,BrownJack,,,0
1924-09-20,DeanDixie19070122,,,0
1924-10-04,MoretonJimmy18910922,,,0
1924-10-04,DeanDixie19070122,,,0
1924-10-11,DeanDixie19070122,,,0
1924-10-18,DeanDixie19070122,,,0
1924-10-18,DeanDixie19070122,,,0
1924-10-25,SayerStan18950202,,,0
1924-10-25,DeanDixie19070122,,,0
1924-10-25,DeanDixie19070122,,,0
1924-10-25,DeanDixie19070122,,,0
1924-11-01,DeanDixie19070122,,,0
1924-11-15,CartmanBert19000228,,,0
1924-11-19,CampbellJohnny18941014,,,0
1924-11-19,LittlehalesHarry19010826,,,0
1924-11-22,StuartTom18931025,,,0
1924-11-22,LittlehalesHarry19010826,,,0
1924-11-29,SayerStan18950202,,,0
1924-12-06,BrownJack,,,0
1924-12-06,DeanDixie19070122,,,0
1924-12-06,DeanDixie19070122,,,0
1924-12-06,LittlehalesHarry19010826,,,0
1924-12-06,LittlehalesHarry19010826,,,0
1924-12-20,DeanDixie19070122,,,0
1924-12-20,DeanDixie19070122,,,0
1924-12-20,SayerStan18950202,,,0
1924-12-27,DeanDixie19070122,,,0
1924-12-27,DeanDixie19070122,,,0
1925-01-01,DeanDixie19070122,,,0
1925-01-17,LittlehalesHarry19010826,,,0
1925-01-31,FoggBilly19030309,,,0
1925-01-31,DeanDixie19070122,,,0
1925-01-31,DeanDixie19070122,,,0
1925-01-31,LittlehalesHarry19010826,,,0
1925-01-31,LittlehalesHarry19010826,,,0
1925-02-07,DeanDixie19070122,,,0
1925-02-14,FoggBilly19030309,,,0
1925-02-14,DeanDixie19070122,,,0
1925-02-14,DeanDixie19070122,,,0
1925-02-14,DeanDixie19070122,,,0
1925-02-28,DeanDixie19070122,,,0
1925-03-04,LittlehalesHarry19010826,,,0
1925-03-07,DeanDixie19070122,,,0
1925-03-07,DeanDixie19070122,,,0
1925-03-07,DeanDixie19070122,,,0
1925-03-14,DeanDixie19070122,,,0
1925-03-18,HalsteadFred41896,,,0
1925-03-18,FoggBilly19030309,,,0
1925-03-18,RimmerEllis19070102,,,0
1925-03-21,StuartTom18931025,,,0
1925-03-21,LittlehalesHarry19010826,,,0
1925-04-04,LittlehalesHarry19010826,,,0
1925-04-10,SayerStan18950202,,,0
1925-04-10,CartmanBert19000228,,,0
1925-04-11,StuartTom18931025,,,0
1925-04-13,JacksonJimmy18960414,,,0
1925-04-14,StuartTom18931025,,,0
1925-04-14,BrownJack,,,0
1925-04-18,FoggBilly19030309,,,0
1925-04-18,SayerStan18950202,,,0
1925-04-22,FoggBilly19030309,,,0
1925-08-29,RobertsBilly19040109,,,0
1925-08-29,MarquisFred18990615,,,0
1925-09-05,MatthewsVince18960115,,,0
1925-09-05,ChalmersBilly19010403,,,0
1925-09-12,MatthewsVince18960115,,,0
1925-09-12,WhiteBob19011205,,,0
1925-09-12,MarquisFred18990615,,,0
1925-09-19,MarquisFred18990615,,,0
1925-09-19,MarquisFred18990615,,,0
1925-09-26,WhiteBob19011205,,,0
1925-09-26,MarquisFred18990615,,,0
1925-09-26,MarquisFred18990615,,,0
1925-10-17,StuartTom18931025,,,0
1925-10-17,MarquisFred18990615,,,0
1925-10-17,WhiteBob19011205,,,0
1925-10-17,WhiteBob19011205,,,0
1925-10-17,ProctorNorman18960511,,,0
1925-10-31,MarquisFred18990615,,,0
1925-10-31,WhiteBob19011205,,,0
1925-11-07,ChalmersBilly19010403,,,0
1925-11-14,WhiteBob19011205,,,0
1925-11-14,ChalmersBilly19010403,,,0
1925-11-21,MarquisFred18990615,,,0
1925-11-21,WhiteBob19011205,,,0
1925-12-02,ProctorNorman18960511,,,0
1925-12-05,ProctorNorman18960511,,,0
1925-12-25,MarquisFred18990615,,,0
1925-12-25,ProctorNorman18960511,,,0
1925-12-25,ChalmersBilly19010403,,,0
1925-12-26,MarquisFred18990615,,,0
1925-12-26,MarquisFred18990615,,,0
1926-01-01,BeswickSammy19030308,,,0
1926-01-01,MarquisFred18990615,,,0
1926-01-01,ProctorNorman18960511,,,0
1926-01-02,FoggBilly19030309,,,0
1926-01-09,MarquisFred18990615,,,0
1926-01-16,WhiteBob19011205,,,0
1926-01-16,ProctorNorman18960511,,,0
1926-01-23,CampbellJohnny18941014,,,0
1926-01-23,WhiteBob19011205,,,0
1926-02-06,WhiteBob19011205,,,0
1926-02-06,WhiteBob19011205,,,0
1926-02-20,BeswickSammy19030308,,,0
1926-02-20,BeswickSammy19030308,,,0
1926-02-20,CartmanBert19000228,,,0
1926-02-27,StuartTom18931025,,,0
1926-02-27,WhiteBob19011205,,,0
1926-03-06,MoretonJimmy18910922,,,0
1926-03-13,MarquisFred18990615,,,0
1926-03-13,CharltonBilly19001010,,,0
1926-03-13,CharltonBilly19001010,,,0
1926-03-20,MarquisFred18990615,,,0
1926-03-20,MarquisFred18990615,,,0
1926-03-27,MarquisFred18990615,,,0
1926-03-27,CharltonBilly19001010,,,0
1926-04-02,StuartTom18931025,,,0
1926-04-02,CartmanBert19000228,,,0
1926-04-02,,,,1
1926-04-03,MarquisFred18990615,,,0
1926-04-03,LittlehalesHarry19010826,,,0
1926-04-03,ProctorNorman18960511,,,0
1926-04-03,CartmanBert19000228,,,0
1926-04-05,MarquisFred18990615,,,0
1926-04-05,LittlehalesHarry19010826,,,0
1926-04-05,LittlehalesHarry19010826,,,0
1926-04-06,LittlehalesHarry19010826,,,0
1926-04-17,MarquisFred18990615,,,0
1926-04-24,MarquisFred18990615,,,0
1926-04-24,ProctorNorman18960511,,,0
1926-04-24,ProctorNorman18960511,,,0
1926-05-01,WhiteBob19011205,,,0
1926-05-01,ProctorNorman18960511,,,0
1926-05-01,ProctorNorman18960511,,,0
1926-05-01,ProctorNorman18960511,,,0
1926-08-28,MarquisFred18990615,,,0
1926-08-28,CharltonBilly19001010,,,0
1926-08-28,CartmanBert19000228,,,0
1926-08-30,CharltonBilly19001010,,,0
1926-09-04,MarquisFred18990615,,,0
1926-09-04,MarquisFred18990615,,,0
1926-09-04,CharltonBilly19001010,,,0
1926-09-04,CharltonBilly19001010,,,0
1926-09-06,CharltonBilly19001010,,,0
1926-09-06,CartmanBert19000228,,,0
1926-09-18,ProctorNorman18960511,,,0
1926-09-18,CartmanBert19000228,,,0
1926-09-18,,,,1
1926-09-20,LittlehalesHarry19010826,,,0
1926-10-02,,,,1
1926-10-09,CharltonBilly19001010,,,0
1926-10-16,CharltonBilly19001010,,,0
1926-10-23,MarquisFred18990615,,,0
1926-10-23,CharltonBilly19001010,,,0
1926-10-23,,,,1
1926-10-30,MarquisFred18990615,,,0
1926-11-06,FlanaganJack11902,,,0
1926-11-06,FlanaganJack11902,,,0
1926-11-06,FlanaganJack11902,,,0
1926-11-13,CharltonBilly19001010,,,0
1926-11-20,FlanaganJack11902,,,0
1926-11-27,MarquisFred18990615,,,0
1926-12-02,LittlehalesHarry19010826,,,0
1926-12-04,CartmanBert19000228,,,0
1926-12-18,FlanaganJack11902,,,0
1926-12-18,RimmerEllis19070102,,,0
1926-12-25,MarquisFred18990615,,,0
1926-12-25,FlanaganJack11902,,,0
1926-12-25,RimmerEllis19070102,,,0
1926-12-27,FlanaganJack11902,,,0
1926-12-27,JonesTommy19091206,,,0
1927-01-01,LewisGinger11902,,,0
1927-01-01,FlanaganJack11902,,,0
1927-01-01,FlanaganJack11902,,,0
1927-01-01,FlanaganJack11902,,,0
1927-01-01,FlanaganJack11902,,,0
1927-01-01,FlanaganJack11902,,,0
1927-01-01,,,,1
1927-01-08,FlanaganJack11902,,,0
1927-01-08,JonesTommy19091206,,,0
1927-01-15,MatthewsVince18960115,,,0
1927-01-15,WhiteBob19011205,,,0
1927-01-15,ProctorNorman18960511,,,0
1927-01-15,FlanaganJack11902,,,0
1927-01-15,FlanaganJack11902,,,0
1927-01-15,JonesTommy19091206,,,0
1927-01-15,JonesTommy19091206,,,0
1927-01-15,RimmerEllis19070102,,,0
1927-01-24,RimmerEllis19070102,,,0
1927-01-29,FlanaganJack11902,,,0
1927-02-05,WhiteBob19011205,,,0
1927-02-05,FlanaganJack11902,,,0
1927-02-05,FlanaganJack11902,,,0
1927-02-12,RimmerEllis19070102,,,0
1927-02-19,FlanaganJack11902,,,0
1927-02-19,JonesTommy19091206,,,0
1927-02-26,RimmerEllis19070102,,,0
1927-03-05,WhiteBob19011205,,,0
1927-03-05,MarquisFred18990615,,,0
1927-03-05,FlanaganJack11902,,,0
1927-03-19,FlanaganJack11902,,,0
1927-03-19,JonesTommy19091206,,,0
1927-03-19,RimmerEllis19070102,,,0
1927-03-26,JonesTommy19091206,,,0
1927-04-02,RimmerEllis19070102,,,0
1927-04-16,MarquisFred18990615,,,0
1927-04-16,FlanaganJack11902,,,0
1927-04-16,RimmerEllis19070102,,,0
1927-04-16,RimmerEllis19070102,,,0
1927-04-18,FlanaganJack11902,,,0
1927-04-18,FlanaganJack11902,,,0
1927-04-23,CharltonBilly19001010,,,0
1927-04-23,CharltonBilly19001010,,,0
1927-04-23,JonesTommy19091206,,,0
1927-04-30,MarquisFred18990615,,,0
1927-04-30,MarquisFred18990615,,,0
1927-04-30,FlanaganJack11902,,,0
1927-04-30,JonesTommy19091206,,,0
1927-04-30,JonesTommy19091206,,,0
1927-04-30,JonesTommy19091206,,,0
1927-05-07,FlanaganJack11902,,,0
1927-05-07,CartmanBert19000228,,,0
1927-08-27,FlanaganJack11902,,,0
1927-08-29,CharltonBilly19001010,,,0
1927-09-03,WaringPongo19061012,,,0
1927-09-03,WaringPongo19061012,,,0
1927-09-03,JonesTommy19091206,,,0
1927-09-10,LewisGinger11902,,,0
1927-09-10,RimmerEllis19070102,,,0
1927-09-17,CharltonBilly19001010,,,0
1927-09-17,WaringPongo19061012,,,0
1927-09-24,WaringPongo19061012,,,0
1927-09-24,WaringPongo19061012,,,0
1927-10-01,WaringPongo19061012,,,0
1927-10-15,CartmanBert19000228,,,0
1927-10-15,CharltonBilly19001010,,,0
1927-10-15,WaringPongo19061012,,,0
1927-10-15,WaringPongo19061012,,,0
1927-10-15,RimmerEllis19070102,,,0
1927-10-22,CharltonBilly19001010,,,0
1927-10-22,CharltonBilly19001010,,,0
1927-10-22,LittlehalesHarry19010826,,,0
1927-10-29,CharltonBilly19001010,,,0
1927-10-29,RimmerEllis19070102,,,0
1927-11-05,WaringPongo19061012,,,0
1927-11-05,RimmerEllis19070102,,,0
1927-11-19,CharltonBilly19001010,,,0
1927-11-19,CharltonBilly19001010,,,0
1927-11-19,WaringPongo19061012,,,0
1927-11-26,CharltonBilly19001010,,,0
1927-11-26,CharltonBilly19001010,,,0
1927-11-26,WaringPongo19061012,,,0
1927-12-03,CartmanBert19000228,,,0
1927-12-03,WaringPongo19061012,,,0
1927-12-03,WaringPongo19061012,,,0
1927-12-03,WaringPongo19061012,,,0
1927-12-03,RimmerEllis19070102,,,0
1927-12-10,BamberJack18950411,,,0
1927-12-10,RimmerEllis19070102,,,0
1927-12-10,RimmerEllis19070102,,,0
1927-12-17,LittlehalesHarry19010826,,,0
1927-12-24,WaringPongo19061012,,,0
1927-12-27,RimmerEllis19070102,,,0
1927-12-31,LittlehalesHarry19010826,,,0
1928-01-02,LittlehalesHarry19010826,,,0
1928-01-02,RimmerEllis19070102,,,0
1928-01-07,CartmanBert19000228,,,0
1928-01-07,JonesTommy19091206,,,0
1928-01-07,WaringPongo19061012,,,0
1928-01-07,WaringPongo19061012,,,0
1928-01-07,WaringPongo19061012,,,0
1928-01-07,WaringPongo19061012,,,0
1928-01-07,WaringPongo19061012,,,0
1928-01-07,WaringPongo19061012,,,0
1928-01-07,LittlehalesHarry19010826,,,0
1928-01-07,LittlehalesHarry19010826,,,0
1928-01-07,,,,1
1928-01-28,BedfordFred19020625,,,0
1928-01-28,CharltonBilly19001010,,,0
1928-01-28,WaringPongo19061012,,,0
1928-01-28,LittlehalesHarry19010826,,,0
1928-01-28,RimmerEllis19070102,,,0
1928-01-28,RimmerEllis19070102,,,0
1928-02-04,BedfordFred19020625,,,0
1928-02-04,CharltonBilly19001010,,,0
1928-02-11,CharltonBilly19001010,,,0
1928-02-11,WaringPongo19061012,,,0
1928-02-11,WaringPongo19061012,,,0
1928-02-11,LittlehalesHarry19010826,,,0
1928-02-15,CharltonBilly19001010,,,0
1928-02-15,FlanaganJack11902,,,0
1928-02-15,LittlehalesHarry19010826,,,0
1928-02-18,JonesTommy19091206,,,0
1928-02-18,JonesTommy19091206,,,0
1928-02-18,CharltonBilly19001010,,,0
1928-02-18,FlanaganJack11902,,,0
1928-02-18,UrmsonFred19071126,,,0
1928-02-25,LittlehalesHarry19010826,,,0
1928-03-03,LittlehalesHarry19010826,,,0
1928-03-03,FlanaganJack11902,,,0
1928-03-03,BevanHarry19060223,,,0
1928-03-10,CharltonBilly19001010,,,0
1928-03-10,FlanaganJack11902,,,0
1928-03-17,JonesTommy19091206,,,0
1928-03-24,CharltonBilly19001010,,,0
1928-03-24,CharltonBilly19001010,,,0
1928-03-24,CharltonBilly19001010,,,0
1928-03-24,FlanaganJack11902,,,0
1928-03-24,LittlehalesHarry19010826,,,0
1928-03-31,JonesTommy19091206,,,0
1928-03-31,JonesTommy19091206,,,0
1928-03-31,CharltonBilly19001010,,,0
1928-03-31,FlanaganJack11902,,,0
1928-03-31,FlanaganJack11902,,,0
1928-03-31,FlanaganJack11902,,,0
1928-03-31,LittlehalesHarry19010826,,,0
1928-04-06,FlanaganJack11902,,,0
1928-04-06,BevanHarry19060223,,,0
1928-04-06,UrmsonFred19071126,,,0
1928-04-07,JonesTommy19091206,,,0
1928-04-07,CharltonBilly19001010,,,0
1928-04-07,LittlehalesHarry19010826,,,0
1928-04-09,CharltonBilly19001010,,,0
1928-04-09,FlanaganJack11902,,,0
1928-04-24,JonesTommy19091206,,,0
1928-04-24,JonesTommy19091206,,,0
1928-04-24,CharltonBilly19001010,,,0
1928-04-24,CharltonBilly19001010,,,0
1928-04-24,FlanaganJack11902,,,0
1928-05-01,FlanaganJack11902,,,0
1928-05-01,LittlehalesHarry19010826,,,0
1928-05-05,BeswickSammy19030308,,,0
1928-05-05,BeswickSammy19030308,,,0
1928-08-25,JonesTommy19091206,,,0
1928-08-27,LittlehalesHarry19010826,,,0
1928-09-01,FlanaganJack11902,,,0
1928-09-01,RichardsPercy1907,,,0
1928-09-05,CharltonBilly19001010,,,0
