game_date,player_on_id,player_off_id,sub_min,min_off,sub_reason
1971-01-08,HinchJimmy19471108,GillFrank19481205,,,
1971-01-16,GillFrank19481205,BeamishKenny19470825,,,
1971-02-01,GillFrank19481205,StortonTrevor19491126,,,
1971-02-06,StortonTrevor19491126,BeamishKenny19470825,,,
1971-03-05,BrodieEric19401108,DempseyJohn19510402,,,
1971-03-15,StortonTrevor19491126,BrodieEric19401108,,,
1971-03-22,GillFrank19481205,MooreMalcolm19481218,,,
1971-03-26,MooreMalcolm19481218,CrossleyPaul19480714,,,
1971-04-24,CrossleyPaul19480714,StortonTrevor19491126,,,
1971-04-26,CrossleyPaul19480714,GillFrank19481205,,,
1971-08-25,CrossleyPaul19480714,MooreMalcolm19481218,,,
1971-10-02,MooreMalcolm19481218,StortonTrevor19491126,,,
1971-10-16,StortonTrevor19491126,MoorcroftDave19470316,,,
1971-10-20,BrodieEric19401108,CoyneJohn19510718,,,
1971-10-30,MooreMalcolm19481218,BeamishKenny19470825,,,
1971-11-13,MooreMalcolm19481218,MooreRonnie19530129,,,
1971-11-26,MaherAiden19461201,BeamishKenny19470825,,,
1971-12-04,FaganKit19500605,RussellAlex19440221,,,
1971-12-11,FaganKit19500605,MoorcroftDave19470316,,,
1971-12-27,FaganKit19500605,BrodieEric19401108,,,
1972-01-08,CoyneJohn19510718,MooreMalcolm19481218,,,
1972-02-26,BrodieEric19401108,RussellAlex19440221,,,
1972-03-11,MaherAiden19461201,StortonTrevor19491126,,,
1972-03-17,CoyneJohn19510718,MooreMalcolm19481218,,,
1972-03-27,MaherAiden19461201,ManningJohn19401211,,,
1972-04-03,FaganKit19500605,DuffyAlan19491220,,,
1972-04-07,MaherAiden19461201,CrossleyPaul19480714,,,
1972-04-15,RussellAlex19440221,FaganKit19500605,,,
1972-04-18,MaherAiden19461201,DuffyAlan19491220,,,
1972-05-08,MolyneuxFred19440725,MoorcroftDave19470316,,,
1972-05-10,CoyneJohn19510718,MooreRonnie19530129,,,
1972-08-16,FaganKit19500605,MooreMalcolm19481218,,,
1972-09-09,VeitchTommy19491016,DuffyAlan19491220,,,
1972-09-23,FloodEddie19521119,YoungTommy19471224,,,
1972-09-25,DArcyFrank19461208,FloodEddie19521119,,,
1972-10-09,ParryLes19531113,RussellAlex19440221,,,
1972-10-21,FaganKit19500605,MolyneuxFred19440725,,,
1972-10-23,MooreMalcolm19481218,DuffyAlan19491220,,,
1972-11-10,DuffyAlan19491220,MathiasRay19461213,,,
1972-12-02,FarrimondSyd19400717,VeitchTommy19491016,,,
1973-01-20,DuffyAlan19491220,VeitchTommy19491016,,,
1973-02-02,MooreMalcolm19481218,DArcyFrank19461208,,,
1973-02-10,DuffyAlan19491220,MooreMalcolm19481218,,,
1973-02-24,VeitchTommy19491016,FloodEddie19521119,,,
1973-03-02,CrossleyPaul19480714,SinclairRoy19441210,,,
1973-03-07,CrossleyPaul19480714,SinclairRoy19441210,,,
1973-03-10,CrossleyPaul19480714,DuffyAlan19491220,,,
1973-03-19,MooreMalcolm19481218,LoydenEddie19451222,,,
1973-04-06,SeasmanJohn19550221,DuffyAlan19491220,,,
1973-04-21,MooreMalcolm19481218,LoydenEddie19451222,,,
1973-04-24,DuffyAlan19491220,YoungTommy19471224,,,
1973-04-28,FarrimondSyd19400717,PritchardRay19540623,,,
1973-08-25,MathiasRay19461213,CrossleyPaul19480714,,,
1973-09-08,PritchardRay19540623,VeitchTommy19491016,,,
1973-10-02,CrossleyPaul19480714,TynanBobby19551207,,,
1973-10-06,AllenRussell19540109,LoydenEddie19451222,,,
1973-10-12,CrossleyPaul19480714,TynanBobby19551207,,,
1973-10-19,CrossleyPaul19480714,AllenRussell19540109,,,
1973-10-27,YeatsRon19371115,YoungTommy19471224,,,
1973-10-31,YoungTommy19471224,AllenRussell19540109,,,
1973-11-24,FaganKit19500605,AllenRussell19540109,,,
1973-12-08,AllenRussell19540109,TynanBobby19551207,,,
1973-12-15,LoydenEddie19451222,PaliosMark19521109,,,
1973-12-26,AllenRussell19540109,YoungTommy19471224,,,
1973-12-29,AllenRussell19540109,LoydenEddie19451222,,,
1974-01-12,TynanBobby19551207,CrossleyPaul19480714,,,
